instance,n,scenario_file,scenario_type,n_failures,n_actions,target_total,target_achieved,target_recovery_pct,nominal_profit,adaptive_profit,profit_loss_pct,nominal_time,adaptive_time,time_diff_pct,nominal_score,adaptive_score,score_loss_pct,n_bypass,n_change_tool,n_destroy,n_replan,n_fallback,n_destroyed_comps,n_skipped_comps,grasp_time,adapt_time,error
scholl_gunther_n=35,35,scenario_intermediate_scholl_gunther_n=35.json,intermediate,2,3,1,1,100.0,523.0,497.0,5.0,428.0,414.0,3.3,172.91,164.29,5.0,0,1,1,0,1,0,1,0.093,0.042,
scholl_gunther_n=35,35,scenario_simple_scholl_gunther_n=35.json,simple,1,2,1,1,100.0,523.0,496.0,5.2,428.0,423.0,1.2,172.91,163.92,5.2,0,0,1,0,1,0,1,0.135,0.015,
scholl_jaeschke_n=9,9,scenario_complex_scholl_jaeschke_n=9.json,complex,1,2,1,1,100.0,145.0,126.0,13.1,37.0,32.0,13.5,48.21,41.89,13.1,0,0,1,0,1,0,1,0.024,0.028,
scholl_jaeschke_n=9,9,scenario_intermediate_scholl_jaeschke_n=9.json,intermediate,1,1,1,1,100.0,145.0,129.0,11.0,37.0,33.0,10.8,48.21,42.89,11.0,1,0,0,0,0,0,1,0.022,0.013,
scholl_jaeschke_n=9,9,scenario_simple_scholl_jaeschke_n=9.json,simple,1,1,1,1,100.0,145.0,126.0,13.1,37.0,33.0,10.8,48.21,41.89,13.1,1,0,0,0,0,0,1,0.023,0.015,
scholl_kilbrid_n=45,45,scenario_complex_scholl_kilbrid_n=45.json,complex,3,3,1,1,100.0,796.0,726.0,8.8,537.0,510.0,5.0,263.54,243.35,7.7,2,0,1,0,0,1,2,0.149,0.059,
scholl_kilbrid_n=45,45,scenario_intermediate_scholl_kilbrid_n=45.json,intermediate,2,2,1,1,100.0,796.0,778.0,2.3,537.0,530.0,1.3,263.54,257.57,2.3,1,1,0,0,0,0,1,0.196,0.027,
scholl_kilbrid_n=45,45,scenario_simple_scholl_kilbrid_n=45.json,simple,1,1,1,1,100.0,796.0,770.0,3.3,537.0,513.0,4.5,263.54,254.96,3.3,1,0,0,0,0,0,1,0.099,0.014,
scholl_lutz1_n=32,32,scenario_complex_scholl_lutz1_n=32.json,complex,3,5,1,1,100.0,631.0,582.0,7.8,14140.0,13926.0,1.5,163.2,151.42,7.2,3,0,0,0,2,1,1,0.066,0.056,
scholl_lutz1_n=32,32,scenario_intermediate_scholl_lutz1_n=32.json,intermediate,2,2,1,1,100.0,631.0,614.0,2.7,14140.0,13938.0,1.4,163.2,158.21,3.1,1,1,0,0,0,0,1,0.151,0.028,
scholl_lutz1_n=32,32,scenario_simple_scholl_lutz1_n=32.json,simple,1,1,1,1,100.0,631.0,612.0,3.0,14140.0,13628.0,3.6,163.2,158.57,2.8,1,0,0,0,0,0,1,0.071,0.014,
scholl_lutz2_n=89,89,scenario_complex_scholl_lutz2_n=89.json,complex,3,5,2,2,100.0,1493.0,1453.0,2.7,476.0,472.0,0.8,496.08,484.79,2.3,1,1,1,0,2,1,1,0.478,0.042,
scholl_lutz2_n=89,89,scenario_intermediate_scholl_lutz2_n=89.json,intermediate,2,2,2,2,100.0,1493.0,1478.0,1.0,476.0,473.0,0.6,496.08,491.09,1.0,2,0,0,0,0,0,2,0.214,0.028,
